Time (s),X (m),Y (m),Z (m),Roll (deg),Pitch (deg),Yaw (deg)
13.0,13.182,-0.024,12.403,0.15,2.631,13.82
13.1,13.487,0.046,12.354,1.184,2.332,14.179
13.2,13.625,-0.132,12.384,0.86,1.747,14.189
13.3,13.871,0.11,12.347,1.088,2.148,13.979
13.4,14.023,0.215,12.339,-0.103,2.877,14.782
13.5,14.06,0.191,12.403,0.204,2.058,15.057
13.6,14.3,0.103,12.396,0.933,2.463,14.922
13.7,14.437,0.091,12.38,0.579,2.62,15.315
13.8,14.648,0.352,12.352,-0.462,1.302,15.618
13.9,14.791,0.246,12.409,-0.637,1.104,15.662
14.0,14.939,0.304,12.407,0.133,1.842,16.156
14.1,15.158,0.377,12.403,-0.803,1.801,16.352
14.2,15.27,0.35,12.413,-1.379,2.258,16.291
14.3,15.486,0.433,12.409,-0.279,2.656,16.151
14.4,15.59,0.581,12.449,1.034,1.92,16.846
14.5,15.734,0.459,12.449,1.559,1.875,17.666
14.6,15.98,0.692,12.506,-0.151,2.052,17.876
14.7,16.141,0.613,12.496,-0.202,1.57,17.769
14.8,16.324,0.648,12.443,0.551,2.663,17.847
14.9,16.432,0.743,12.398,-0.211,2.233,18.718
15.0,16.523,0.788,12.472,-0.325,2.004,18.798
15.1,16.709,0.845,12.425,-0.629,2.105,19.194
15.2,16.863,0.85,12.509,-0.485,0.91,19.607
15.3,16.869,0.802,12.395,0.855,0.753,19.527
15.4,17.082,1.024,12.438,0.227,1.047,19.704
15.5,17.462,0.929,12.515,-0.887,2.043,19.759
15.6,17.5,0.921,12.456,0.5,1.573,20.238
15.7,17.444,1.102,12.483,-0.132,1.425,20.222
15.8,17.833,1.132,12.48,0.159,1.577,20.987
15.9,18.029,1.126,12.435,0.362,2.339,20.94
16.0,18.089,1.183,12.487,-0.192,1.982,21.65
16.1,18.54,1.274,12.418,0.323,1.851,21.465
16.2,18.625,1.431,12.437,-0.581,2.434,21.936
16.3,18.773,1.321,12.53,0.867,2.087,21.915
16.4,18.867,1.278,12.438,0.703,1.569,22.591
16.5,19.097,1.387,12.458,0.022,1.532,22.451
16.6,19.301,1.526,12.402,-1.137,2.359,23.246
16.7,19.448,1.521,12.494,-0.077,2.075,23.348
16.8,19.529,1.533,12.404,-0.037,2.695,23.046
16.9,19.769,1.691,12.41,0.394,2.264,23.439
17.0,19.933,1.74,12.412,0.271,1.931,24.121
17.1,20.116,1.713,12.396,-0.197,1.714,24.346
17.2,20.179,1.8,12.375,-0.451,1.951,25.144
17.3,20.456,1.772,12.416,0.475,1.843,24.738
17.4,20.605,1.82,12.405,0.815,2.072,25.189
17.5,20.794,1.889,12.417,0.461,1.881,25.521
17.6,20.964,1.856,12.378,0.546,2.135,25.854
17.7,21.007,2.038,12.377,0.43,2.605,26.488
17.8,21.361,2.056,12.395,0.125,1.985,26.312
17.9,21.525,2.072,12.401,-0.614,1.939,26.204
18.0,21.529,2.169,12.359,0.163,2.45,27.235
18.1,21.801,2.222,12.387,-0.958,1.796,27.217
18.2,21.914,2.202,12.373,-1.188,1.681,27.017
18.3,22.122,2.262,12.415,-0.896,2.508,27.483
18.4,22.414,2.29,12.392,-0.842,2.655,27.842
18.5,22.548,2.503,12.381,-0.68,2.53,28.226
18.6,22.832,2.306,12.396,0.35,1.994,28.66
18.7,22.851,2.473,12.328,0.701,1.621,28.674
18.8,22.924,2.588,12.4,1.066,2.004,28.867
18.9,23.196,2.479,12.35,1.148,1.985,29.015
19.0,23.165,2.535,12.318,0.508,2.322,29.471
19.1,23.674,2.58,12.349,-0.018,1.677,29.789
19.2,23.727,2.56,12.288,-0.316,2.457,30.153
19.3,23.914,2.84,12.395,0.337,2.412,29.79
19.4,24.057,2.771,12.332,-0.25,2.007,30.381
19.5,24.15,2.747,12.258,0.025,2.235,30.992
19.6,24.376,2.829,12.266,0.367,1.841,31.566
19.7,24.493,2.937,12.285,0.627,1.657,31.652
19.8,24.688,2.944,12.278,0.077,2.714,31.153
19.9,24.928,2.946,12.313,-0.807,2.367,31.513
20.0,24.974,3.102,12.324,-0.425,1.917,32.402
20.1,25.372,3.034,12.325,0.041,2.8,32.552
20.2,25.324,3.116,12.301,0.022,3.013,32.838
20.3,25.641,3.205,12.24,0.461,1.996,33.594
20.4,25.688,3.178,12.317,-0.485,1.783,33.148
20.5,25.807,3.284,12.32,-0.383,0.863,33.996
20.6,26.106,3.269,12.196,-0.603,1.831,34.013
20.7,26.259,3.571,12.247,-0.638,1.974,34.119
20.8,26.398,3.369,12.255,0.286,2.958,34.027
20.9,26.581,3.497,12.239,0.497,2.451,34.518
21.0,26.703,3.417,12.309,-0.833,2.604,35.437
21.1,26.953,3.436,12.286,0.084,1.704,35.346
21.2,27.05,3.556,12.269,0.299,1.738,35.775
21.3,27.258,3.58,12.216,0.001,1.758,35.98
21.4,27.515,3.621,12.18,0.483,1.803,36.069
21.5,27.49,3.688,12.22,0.742,2.031,36.582
21.6,27.718,3.805,12.22,0.025,2.33,36.725
21.7,27.877,3.932,12.215,0.179,1.388,36.866
21.8,28.036,3.986,12.166,-0.337,1.751,37.097
21.9,28.162,3.876,12.186,-0.422,1.858,37.259
22.0,28.418,4.057,12.226,-1.244,1.566,37.765
22.1,28.627,4.09,12.255,-0.29,2.126,37.898
22.2,28.78,3.944,12.22,-0.545,2.536,38.473
22.3,28.836,3.992,12.23,0.53,2.605,38.377
22.4,29.188,4.059,12.233,1.334,1.474,38.477
22.5,29.362,4.261,12.228,0.596,2.33,38.492
22.6,29.484,4.133,12.273,-0.742,2.256,39.385
22.7,29.57,4.162,12.191,-0.481,1.839,40.064
22.8,29.753,4.324,12.228,-0.02,1.691,39.701
22.9,30.149,4.233,12.17,0.191,1.994,39.42
23.0,30.304,4.268,12.265,0.468,2.256,40.448
23.1,30.377,4.361,12.244,-0.558,1.413,40.317
23.2,30.44,4.361,12.251,-0.697,1.427,40.904
23.3,30.788,4.188,12.215,0.366,1.367,41.086
23.4,30.876,4.313,12.204,0.919,1.773,41.433
23.5,31.174,4.503,12.158,-0.484,1.451,41.556
23.6,31.175,4.366,12.216,0.745,2.334,41.72
23.7,31.437,4.61,12.253,1.109,2.073,42.304
23.8,31.56,4.545,12.085,1.057,2.154,42.225
23.9,31.814,4.61,12.252,-0.291,2.289,42.835
24.0,31.88,4.65,12.144,0.856,2.267,42.659
24.1,32.175,4.525,12.187,-0.226,2.191,43.093
24.2,32.247,4.648,12.128,0.025,1.687,43.128
24.3,32.382,4.658,12.146,1.215,1.72,43.787
24.4,32.674,4.801,12.178,-0.116,2.825,43.648
24.5,32.821,4.948,12.133,-0.589,1.626,43.869
24.6,32.811,4.85,12.204,-0.055,1.709,44.556
24.7,33.15,4.915,12.129,0.817,1.91,44.673
24.8,33.336,4.801,12.148,-0.356,2.962,44.837
24.9,33.513,4.97,12.093,-1.058,2.275,44.888
25.0,33.832,5.024,12.092,-0.677,2.088,45.385
25.1,33.788,5.075,12.089,-0.505,2.215,45.761
25.2,34.008,5.181,12.118,-0.822,1.797,46.093
25.3,34.045,5.289,12.156,-0.478,1.893,46.026
25.4,34.236,5.221,12.087,-1.492,2.238,46.589
25.5,34.48,5.291,12.031,-0.181,2.273,46.266
25.6,34.688,5.175,12.054,0.252,2.654,46.993
25.7,34.853,5.384,12.022,1.491,2.064,47.002
25.8,35.09,5.378,12.093,1.27,1.575,47.643
25.9,35.27,5.281,12.076,0.348,1.808,47.609
26.0,35.467,5.49,12.032,-0.822,2.134,48.525
26.1,35.551,5.454,12.059,-0.156,2.617,48.265
26.2,35.776,5.629,12.11,0.289,1.419,48.573
26.3,35.853,5.628,12.091,-0.275,1.247,48.212
26.4,36.116,5.642,12.049,-0.899,1.774,48.703
26.5,36.303,5.811,12.098,-1.967,2.263,49.567
26.6,36.4,5.698,12.08,-1.04,2.292,49.434
26.7,36.359,5.717,12.04,0.335,2.141,50.151
26.8,36.738,5.775,12.066,0.225,1.898,49.983
26.9,37.171,5.813,12.129,0.195,1.858,50.585
27.0,37.133,5.766,12.008,-0.127,1.701,50.528
27.1,37.269,5.907,12.086,-0.534,2.201,51.12
27.2,37.508,5.922,12.037,-0.57,1.749,51.476
27.3,37.766,5.871,12.063,-0.031,2.245,51.822
27.4,37.882,5.813,12.049,0.251,2.458,51.711
27.5,38.019,6.055,12.04,0.877,2.655,51.866
27.6,38.111,6.091,12.02,0.039,2.64,52.612
27.7,38.367,6.086,12.023,-0.179,2.429,52.816
27.8,38.466,6.119,12.045,-0.022,2.057,53.2
27.9,38.762,6.208,12.03,0.796,2.679,53.005
28.0,39.026,6.121,11.95,0.848,3.001,53.745
28.1,39.156,6.253,12.017,-0.539,2.037,53.797
28.2,39.187,6.141,12.043,0.602,0.814,53.853
28.3,39.319,6.115,12.02,0.201,1.462,54.274
28.4,39.452,6.22,11.987,-0.615,2.247,54.883
28.5,39.764,6.224,11.901,-1.21,1.361,54.97
28.6,39.942,6.316,11.988,-0.726,2.14,55.238
28.7,40.125,6.444,11.986,0.389,2.247,55.492
28.8,40.252,6.359,12.012,-0.669,1.665,55.64
28.9,40.294,6.432,11.911,-0.781,1.762,56.298
29.0,40.405,6.54,11.934,0.345,1.137,56.27
29.1,40.815,6.534,11.917,0.93,1.737,56.179
29.2,40.831,6.421,11.922,-0.117,1.991,56.455
29.3,41.218,6.382,11.86,0.559,2.357,56.942
29.4,41.067,6.624,11.903,0.646,1.511,57.259
29.5,41.318,6.394,11.9,-0.985,1.636,57.808
29.6,41.508,6.355,11.9,-0.335,1.256,57.267
29.7,41.78,6.359,11.973,1.147,1.484,58.375
29.8,41.992,6.635,11.884,0.206,1.957,58.758
29.9,42.072,6.448,11.887,-0.073,2.148,58.636
30.0,42.342,6.567,11.943,-0.334,2.266,59.346
30.1,42.368,6.596,11.872,0.359,2.26,59.159
30.2,42.605,6.73,11.936,0.394,1.861,59.578
30.3,42.722,6.538,11.901,0.208,1.196,59.793
30.4,42.95,6.674,11.853,-0.045,2.266,60.607
30.5,43.119,6.718,11.843,-0.151,1.74,60.793
30.6,43.369,6.829,11.871,-0.231,1.466,61.085
30.7,43.798,6.716,11.852,-0.087,2.591,60.839
30.8,43.588,6.776,11.858,1.043,2.333,61.449
30.9,43.852,6.755,11.826,-0.26,2.628,61.443
31.0,44.092,6.89,11.865,0.431,1.942,62.049
31.1,44.21,6.902,11.81,-0.59,1.981,62.431
31.2,44.488,6.821,11.81,-0.081,1.836,62.914
31.3,44.465,6.92,11.813,-0.293,2.012,62.825
31.4,44.778,6.781,11.764,-1.334,2.008,63.203
31.5,44.821,6.923,11.792,-0.712,1.214,63.399
31.6,45.125,6.865,11.788,0.306,2.116,63.462
31.7,45.247,6.921,11.732,0.705,1.453,64.433
31.8,45.426,7.052,11.709,0.651,1.79,64.414
31.9,45.532,7.162,11.819,0.923,1.588,64.971
32.0,45.606,7.031,11.75,0.704,2.423,65.114
32.1,45.84,7.029,11.746,-0.173,2.186,64.879
32.2,46.157,7.037,11.72,-1.48,2.499,65.334
32.3,46.249,7.145,11.798,-1.285,1.842,65.945
32.4,46.5,7.09,11.721,-0.277,1.683,66.273
32.5,46.507,7.198,11.653,0.048,2.074,66.518
32.6,46.832,7.258,11.737,0.069,1.764,66.624
32.7,47.032,7.202,11.674,0.249,1.448,67.117
32.8,46.948,7.137,11.723,0.287,1.944,66.936
32.9,47.322,7.245,11.695,0.353,2.064,67.398
33.0,47.623,7.145,11.745,-0.219,2.088,67.45
33.1,47.58,7.076,11.709,-0.028,2.471,68.253
33.2,47.891,7.32,11.67,0.293,2.376,68.37
33.3,47.982,7.399,11.736,0.653,1.734,68.725
33.4,48.216,7.371,11.783,-0.617,2.081,68.761
33.5,48.283,7.252,11.652,-0.967,2.132,68.475
33.6,48.419,7.024,11.711,-0.498,2.655,69.181
33.7,48.61,7.246,11.678,0.335,1.698,69.694
33.8,48.78,7.365,11.676,1.258,1.943,69.951
33.9,48.927,7.298,11.604,0.773,1.251,70.451
34.0,49.074,7.456,11.608,0.238,2.669,70.789
34.1,49.4,7.297,11.697,0.847,1.994,70.654
34.2,49.43,7.421,11.644,0.191,2.295,71.275
34.3,49.544,7.42,11.615,-0.11,1.548,70.931
34.4,49.727,7.445,11.703,-0.246,1.506,71.826
34.5,50.002,7.333,11.677,-1.173,1.341,71.429
34.6,49.948,7.457,11.656,-1.431,1.284,72.369
34.7,50.331,7.5,11.587,-0.615,1.105,71.961
34.8,50.519,7.46,11.624,1.057,1.614,72.946
34.9,50.733,7.404,11.68,-0.725,0.77,73.51
35.0,50.772,7.484,11.54,0.034,1.694,73.347
35.1,50.922,7.458,11.556,-0.223,2.343,73.849
35.2,51.181,7.576,11.587,-0.288,3.688,74.237
35.3,51.352,7.638,11.653,-0.195,3.03,73.568
35.4,51.618,7.598,11.621,0.905,2.102,74.044
35.5,51.691,7.615,11.627,0.598,2.823,74.812
35.6,51.82,7.585,11.611,-0.26,2.059,74.809
35.7,51.915,7.63,11.603,-0.888,2.395,75.26
35.8,52.173,7.471,11.643,0.157,2.064,76.323
35.9,52.362,7.646,11.735,2.14,2.088,76.387
36.0,52.619,7.724,11.607,6.024,1.456,76.364
36.1,52.705,7.644,11.639,6.762,1.818,76.317
36.2,52.974,7.795,11.569,4.967,1.842,76.909
36.3,53.137,7.691,11.648,3.865,2.292,77.135
36.4,53.146,7.901,11.589,2.472,2.374,77.283
36.5,53.284,7.982,11.594,1.879,1.887,78.016
36.6,53.493,8.143,11.571,1.638,1.869,77.398
36.7,53.695,8.238,11.562,0.892,2.596,78.559
36.8,53.819,8.536,11.572,0.689,2.537,78.341
36.9,54.103,8.242,11.558,0.023,1.974,79.064
37.0,54.267,8.526,11.547,-0.15,1.807,78.975
37.1,54.472,8.74,11.674,-1.201,1.441,79.137
37.2,54.562,8.957,11.622,0.033,1.047,79.389
37.3,54.674,9.06,11.646,0.316,2.114,79.899
37.4,54.911,9.226,11.63,-0.466,2.838,80.195
37.5,54.972,9.324,11.557,0.274,2.092,81.153
37.6,55.22,9.517,11.618,1.04,1.807,81.07
37.7,55.315,9.737,11.585,0.805,1.29,80.941
37.8,55.635,10.116,11.591,-0.095,1.836,80.928
37.9,55.499,10.121,11.619,-0.39,1.118,81.539
38.0,55.952,10.601,11.63,-0.778,2.264,81.934
38.1,56.127,10.659,11.628,-0.709,2.27,81.629
38.2,56.225,10.744,11.633,-0.325,2.936,82.336
38.3,56.424,11.03,11.622,0.62,3.22,82.932
38.4,56.575,11.249,11.639,1.008,2.308,82.75
38.5,56.821,11.276,11.691,0.163,1.833,82.72
38.6,57.01,11.451,11.734,-1.355,1.537,83.578
38.7,57.039,11.911,11.697,-1.93,1.758,84.05
38.8,57.331,11.921,11.648,-1.646,1.834,83.841
38.9,57.312,12.27,11.677,-0.533,0.77,84.201
39.0,57.561,12.456,11.705,0.332,-1.517,84.723
39.1,57.748,12.468,11.712,0.196,-2.202,84.827
39.2,57.813,12.858,11.725,-1.243,-0.621,84.779
39.3,58.155,13.05,11.727,-1.587,-0.767,85.141
39.4,58.302,13.304,11.697,-0.958,-0.638,85.484
39.5,58.661,13.393,11.671,-0.666,-0.125,85.782
39.6,58.781,13.623,11.622,-1.91,-0.138,86.349
39.7,58.977,13.803,11.729,-0.576,0.034,86.051
39.8,59.296,13.935,11.713,-1.048,1.001,86.674
39.9,59.693,14.266,11.658,-1.011,1.114,86.796
40.0,60.015,14.386,11.696,-0.239,1.484,86.561
40.1,60.325,14.607,11.684,-0.506,1.757,87.526
40.2,60.547,14.683,11.686,-0.149,2.833,87.626
40.3,60.987,14.917,11.777,-0.608,2.007,87.503
40.4,61.2,14.915,11.7,-1.224,2.345,87.614
40.5,61.547,15.105,11.818,-1.173,2.027,88.545
40.6,61.97,15.392,11.725,-1.608,2.392,88.977
40.7,62.206,15.447,11.71,-1.176,2.033,88.818
40.8,62.4,15.58,11.75,-1.166,1.901,88.991
40.9,62.939,15.765,11.848,-0.458,1.796,89.497
41.0,63.217,15.761,11.753,-1.608,1.819,89.413
41.1,63.525,16.034,11.787,-0.912,2.494,89.716
41.2,63.995,16.185,11.683,-1.219,2.665,90.372
41.3,64.173,16.24,11.8,-0.016,2.639,90.125
41.4,64.605,16.292,11.725,-0.488,2.166,91.003
41.5,64.895,16.64,11.78,-1.446,3.071,91.073
41.6,65.42,16.639,11.846,-0.637,2.619,91.621
41.7,65.393,16.628,11.789,-0.589,2.881,91.091
41.8,65.876,16.766,11.834,-1.572,3.861,92.173
41.9,66.201,16.778,11.803,-1.416,2.837,92.082
42.0,66.57,16.854,11.804,-0.957,3.108,92.532
42.1,66.752,16.923,11.834,-0.387,2.366,92.431
42.2,67.035,17.087,11.87,-0.405,2.451,92.648
42.3,67.492,17.261,11.834,0.047,3.097,93.485
42.4,67.635,17.356,11.832,-1.233,3.011,93.592
42.5,67.976,17.351,11.799,-0.702,2.637,93.891
42.6,68.226,17.502,11.774,-0.401,2.869,94.203
42.7,68.532,17.52,11.851,0.056,3.229,94.466
42.8,68.66,17.434,11.845,0.46,3.124,94.188
42.9,68.984,17.51,11.87,0.176,2.739,94.801
43.0,69.277,17.65,11.907,-1.084,2.292,95.087
43.1,69.541,17.725,11.906,-0.844,2.509,95.986
43.2,69.864,17.795,11.843,-0.339,2.747,96.104
43.3,70.057,17.634,11.895,-0.693,2.75,95.827
43.4,70.298,17.62,11.901,-1.826,3.212,95.97
43.5,70.474,17.964,11.885,-1.408,3.174,96.836
43.6,70.8,17.796,11.81,-1.132,2.34,97.1
43.7,70.865,17.912,11.874,-1.059,3.066,97.611
43.8,71.114,17.838,11.909,-1.966,3.437,97.271
43.9,71.203,17.721,11.95,-1.802,3.114,98.29
44.0,71.428,17.933,11.914,-0.34,2.379,98.215
44.1,71.765,17.838,11.877,-0.637,2.974,98.799
44.2,71.875,17.895,11.994,-1.954,3.154,98.847
44.3,71.902,17.791,11.944,-0.931,3.353,98.969
44.4,72.211,17.621,11.931,-0.716,3.07,99.173
44.5,72.349,17.651,11.975,-1.327,2.967,100.03
44.6,72.424,17.679,11.984,-1.393,2.82,99.149
44.7,72.681,17.481,11.958,-1.405,3.421,100.55
44.8,72.764,17.483,11.942,-0.892,3.764,100.745
44.9,72.902,17.484,11.948,-0.522,3.527,100.693
45.0,73.081,17.211,12.008,-0.625,3.303,101.374
45.1,73.05,17.195,11.994,0.052,3.216,101.446
45.2,73.269,17.15,12.037,-0.333,3.173,101.447
45.3,73.234,17.122,11.957,-0.634,3.392,102.01
45.4,73.297,16.94,12.023,-0.519,2.531,102.537
45.5,73.475,16.788,12.033,-1.002,3.036,102.702
45.6,73.453,16.783,12.032,-1.26,3.896,102.794
45.7,73.424,16.574,11.974,-0.55,2.896,103.458
45.8,73.47,16.537,12.034,-0.299,3.074,103.761
45.9,73.512,16.408,12.113,0.942,3.468,104.165
46.0,73.384,16.237,12.059,-1.007,3.437,104.185
46.1,73.549,16.195,12.019,-1.821,3.655,104.794
46.2,73.479,16.086,12.003,-1.243,2.995,104.496
46.3,73.347,15.747,11.967,0.176,2.707,104.833
46.4,73.339,15.752,12.021,-0.187,2.191,104.848
46.5,73.442,15.554,11.97,-1.354,2.509,105.466
46.6,73.22,15.39,11.974,-0.44,3.427,105.767
46.7,73.43,15.267,12.014,0.073,3.465,106.009
46.8,73.101,15.198,12.005,0.201,2.938,105.946
46.9,73.121,14.934,11.98,-0.024,2.848,106.797
47.0,72.811,14.757,11.878,-1.932,2.861,106.369
47.1,72.911,14.514,11.909,0.414,3.714,106.835
47.2,72.766,14.43,11.965,0.493,3.392,106.579
47.3,72.728,14.271,11.856,-0.98,3.116,107.877
47.4,72.575,14.019,11.941,-1.303,2.598,108.088
47.5,72.396,13.886,11.878,-0.884,2.719,108.11
47.6,72.452,13.763,11.904,-0.814,3.507,108.517
47.7,72.187,13.643,11.838,-0.968,3.066,108.384
47.8,71.905,13.311,11.795,-0.777,2.769,108.708
47.9,71.817,13.29,11.788,-1.465,2.682,109.015
48.0,71.38,13.0,11.873,-0.518,2.505,109.629
48.1,71.378,12.775,11.789,-0.479,2.357,109.723
48.2,71.33,12.535,11.741,0.049,2.778,110.14
48.3,70.985,12.275,11.811,0.657,3.019,110.089
48.4,70.831,11.994,11.706,-0.185,3.219,110.292
